"Gene","Insertion.Index","log.likelihood.ratio","essential","non.essential","unclear"
"thrL",0.393939394,31.4310590411179,FALSE,TRUE,FALSE
"thrA",0.219244823,17.2007822018255,FALSE,TRUE,FALSE
"thrB",0.265809218,21.2345485757909,FALSE,TRUE,FALSE
"thrC",0.205905206,15.994924486257,FALSE,TRUE,FALSE
"yaaX",0.225589226,17.7655073254607,FALSE,TRUE,FALSE
"yaaA",0.208494208,16.2310264728184,FALSE,TRUE,FALSE
"yaaJ",0.238993711,18.9417934982492,FALSE,TRUE,FALSE
"talB",0.259958071,20.7405220359747,FALSE,TRUE,FALSE
"mog",0.239795918,19.0115055541163,FALSE,TRUE,FALSE
"satP",0.239858907,19.0169761781134,FALSE,TRUE,FALSE
"yaaW",0.219887955,17.2582754241239,FALSE,TRUE,FALSE
"yaaI",0.261728395,20.8903415790951,FALSE,TRUE,FALSE
"dnaK",0.053208138,-2.00652874857834,FALSE,FALSE,TRUE
"dnaJ",0.224580018,17.6760338684904,FALSE,TRUE,FALSE
"insL1",0.281221923,22.5208879210296,FALSE,TRUE,FALSE
"mokC",0.438095238,34.7508730460785,FALSE,TRUE,FALSE
"hokC",0.359477124,28.7829596933116,FALSE,TRUE,FALSE
"nhaA",0.285347044,22.8617041228886,FALSE,TRUE,FALSE
"nhaR",0.270419426,21.6215344591749,FALSE,TRUE,FALSE
"insB1",0.357142857,28.6015171466752,FALSE,TRUE,FALSE
"insA",0.311594203,24.9994168221253,FALSE,TRUE,FALSE
"rpsT",0,-172.161960178805,TRUE,FALSE,FALSE
"yaaY",0.109589041,6.11452767084296,FALSE,TRUE,FALSE
"ribF",0.005307856,-20.0930286017248,TRUE,FALSE,FALSE
"ileS",0.002484913,-25.2807282469994,TRUE,FALSE,FALSE
"lspA",0.012121212,-14.2268237928731,TRUE,FALSE,FALSE
"fkpB",0.113333333,6.55868042881735,FALSE,TRUE,FALSE
"ispH",0.008412198,-16.8629072686318,TRUE,FALSE,FALSE
"rihC",0.228415301,18.0153582553465,FALSE,TRUE,FALSE
"dapB",0.001216545,-30.0804217555833,TRUE,FALSE,FALSE
"carA",0.17232376,12.8268780579488,FALSE,TRUE,FALSE
"carB",0.205462446,15.9544433410882,FALSE,TRUE,FALSE
"caiF",0.54040404,42.2029052694267,FALSE,TRUE,FALSE
"caiE",0.248730964,19.7830697802311,FALSE,TRUE,FALSE
"caiD",0.281170483,22.5166290652611,FALSE,TRUE,FALSE
"caiC",0.27027027,21.609044594819,FALSE,TRUE,FALSE
"caiB",0.218390805,17.1243486485704,FALSE,TRUE,FALSE
"caiA",0.186351706,14.1759812601423,FALSE,TRUE,FALSE
"caiT",0.258745875,20.6377592298683,FALSE,TRUE,FALSE
"fixA",0.246433204,19.5854928748613,FALSE,TRUE,FALSE
"fixB",0.174097665,12.9997607080494,FALSE,TRUE,FALSE
"fixC",0.177156177,13.2962345524149,FALSE,TRUE,FALSE
"fixX",0.21875,17.1565084362157,FALSE,TRUE,FALSE
"yaaU",0.211711712,16.5230254388295,FALSE,TRUE,FALSE
"kefF",0.256120527,20.4146982025842,FALSE,TRUE,FALSE
"kefC",0.198067633,15.2736961516375,FALSE,TRUE,FALSE
"folA",0.004166667,-21.7619466480972,TRUE,FALSE,FALSE
"apaH",0.215895611,16.9004494180462,FALSE,TRUE,FALSE
"apaG",0.285714286,22.8919779313823,FALSE,TRUE,FALSE
"rsmA",0.181265207,13.6914471433645,FALSE,TRUE,FALSE
"pdxA",0.225252525,17.7356711654755,FALSE,TRUE,FALSE
"surA",0.201243201,15.5671212942631,FALSE,TRUE,FALSE
"lptD",0.007218684,-17.9457932729993,TRUE,FALSE,FALSE
"djlA",0.285539216,22.8775472986483,FALSE,TRUE,FALSE
"yabP",0.526641884,41.2166026228945,FALSE,TRUE,FALSE
"rluA",0.266666667,21.3066723713466,FALSE,TRUE,FALSE
"rapA",0.243550052,19.336765159257,FALSE,TRUE,FALSE
"polB",0.209608844,16.3323592209752,FALSE,TRUE,FALSE
"araD",0.215339233,16.8504046386273,FALSE,TRUE,FALSE
"araC",0.184300341,13.9811790475873,FALSE,TRUE,FALSE
"yabI",0.197385621,15.2104577035873,FALSE,TRUE,FALSE
